Stock Name,Stock Ticker,Category,Stock Explain,Resources
Ameriprise Financial,AMP,Financials,"Ameriprise Financial, Inc. is a diversified financial services company offering wealth management, asset management, and insurance products. It helps individuals and institutions achieve their financial goals.",http://www.ameriprise.com
Ametek,AME,Industrials,"AMETEK, Inc. is a global manufacturer of electronic instruments and electromechanical devices. Its products serve industries such as aerospace, power generation, and healthcare, focusing on precision engineering.",http://www.ametek.com
Amgen,AMGN,Health Care,"Amgen Inc. is one of the world's leading biotechnology companies, developing and manufacturing therapies for serious illnesses such as cancer, cardiovascular diseases, and autoimmune disorders. It is known for its innovation in biopharmaceuticals.",http://www.amgen.com
Amphenol,APH,Information Technology,"Amphenol Corporation is a global leader in the design and manufacture of interconnect products, including connectors, cables, and antennas. It serves diverse industries, such as automotive, aerospace, and telecommunications.",http://www.amphenol.com
Analog Devices,ADI,Information Technology,"Analog Devices, Inc. is a global leader in designing and manufacturing analog, mixed-signal, and digital signal processing (DSP) integrated circuits. Its solutions serve industries such as automotive, healthcare, and communications.",http://www.analog.com
Ansys,ANSS,Information Technology,"ANSYS, Inc. is a leading provider of engineering simulation software. Its products help engineers and designers simulate and analyze product performance, optimizing designs across industries like aerospace, automotive, and electronics.",http://www.ansys.com
Aon,AON,Financials,"Aon plc is a global professional services firm specializing in risk management, insurance brokerage, and human resources consulting. It helps clients protect assets, manage risk, and improve employee benefits.",http://www.aon.com
APA Corporation,APA,Energy,"APA Corporation, formerly Apache Corporation, is an energy company engaged in the exploration and production of oil and natural gas. It operates globally, focusing on efficient and sustainable resource extraction.",http://www.apacorp.com
Apollo Global Management,APO,Financials,"Apollo Global Management, Inc. is a leading alternative investment firm specializing in private equity, credit, and real estate. It invests in a wide range of industries to deliver long-term growth and returns.",http://www.apollo.com
Apple Inc.,AAPL,Information Technology,"Apple Inc. is a multinational technology company known for its iconic products, including the iPhone, Mac, iPad, and Apple Watch. It is a global leader in consumer electronics, software, and services like iCloud and Apple Music.",http://www.apple.com
Applied Materials,AMAT,Information Technology,"Applied Materials, Inc. is a global leader in providing equipment, services, and software for semiconductor, display, and solar manufacturing. It plays a key role in advancing technology for chips and screens.",http://www.appliedmaterials.com
Aptiv,APTV,Consumer Discretionary,"Aptiv plc is a technology company that develops advanced safety, electrification, and connectivity solutions for the automotive industry. It focuses on enabling the future of mobility, including electric and autonomous vehicles.",http://www.aptiv.com
Arch Capital Group,ACGL,Financials,"Arch Capital Group Ltd. provides insurance, reinsurance, and mortgage insurance solutions. It serves businesses and individuals with a focus on risk management and underwriting excellence.",http://www.archcapgroup.com
Archer Daniels Midland,ADM,Consumer Staples,"Archer-Daniels-Midland Company (ADM) is a global leader in agricultural processing and food ingredients. It processes crops into products like oils, sweeteners, and biofuels, supporting the global food supply chain.",http://www.adm.com
Arista Networks,ANET,Information Technology,"Arista Networks, Inc. is a leading provider of cloud networking solutions for large data centers and high-performance computing environments. It specializes in software-driven, high-speed Ethernet networking.",http://www.arista.com
Arthur J. Gallagher & Co.,AJG,Financials,"Arthur J. Gallagher & Co. is a global insurance brokerage and risk management firm. It provides insurance consulting, claims management, and employee benefits solutions to businesses and individuals.",http://www.ajg.com
Assurant,AIZ,Financials,"Assurant, Inc. is a global provider of risk management solutions, focusing on housing, lifestyle, and automotive sectors. It offers extended warranties, renters insurance, and mobile device protection plans.",http://www.assurant.com
AT&T,T,Communication Services,"AT&T Inc. is a telecommunications giant providing wireless, broadband, and digital entertainment services. It is also involved in content creation through WarnerMedia, offering streaming and media solutions.",http://www.att.com
Atmos Energy,ATO,Utilities,"Atmos Energy Corporation is one of the largest natural gas distributors in the United States, serving residential, commercial, and industrial customers. It is committed to reliable and safe energy delivery.",http://www.atmosenergy.com
Autodesk,ADSK,Information Technology,"Autodesk, Inc. is a global leader in 3D design, engineering, and entertainment software. Its products, like AutoCAD and Revit, are widely used in architecture, construction, manufacturing, and media industries.",http://www.autodesk.com
Automatic Data Processing,ADP,Industrials,"Automatic Data Processing, Inc. (ADP) is a leading provider of human resources management software and services. It offers payroll, talent management, and compliance solutions for businesses of all sizes.",http://www.adp.com
AutoZone,AZO,Consumer Discretionary,"AutoZone, Inc. is a retailer and distributor of automotive replacement parts and accessories. It serves DIY customers, professional mechanics, and commercial businesses through its extensive store network.",http://www.autozone.com
AvalonBay Communities,AVB,Real Estate,"AvalonBay Communities, Inc. is a real estate investment trust (REIT) that develops, owns, and operates luxury apartment communities in major metropolitan areas across the United States.",http://www.avalonbay.com
Avery Dennison,AVY,Materials,"Avery Dennison Corporation is a global materials science company specializing in labeling and packaging materials. It serves industries such as retail, healthcare, and logistics with innovative adhesive and labeling solutions.",http://www.averydennison.com
Axon Enterprise,AXON,Industrials,"Axon Enterprise, Inc. develops technology and products for public safety, including body-worn cameras, non-lethal weapons such as TASER devices, and digital evidence management systems through its Axon Cloud platform.",http://www.axon.com
Baker Hughes,BKR,Energy,"Baker Hughes Company is an energy technology company providing solutions for oil and gas exploration, drilling, production, and renewable energy. It focuses on improving efficiency and sustainability in the energy sector.",http://www.bakerhughes.com
Ball Corporation,BALL,Materials,"Ball Corporation is a leading manufacturer of sustainable metal packaging for beverages, food, and household products. It is also involved in aerospace, providing innovative systems and components for defense and space exploration.",http://www.ball.com
Bank of America,BAC,Financials,"Bank of America Corporation is one of the largest financial institutions in the world, offering banking, investment, and wealth management services. It serves individual consumers, small businesses, and corporations globally.",http://www.bankofamerica.com
Baxter International,BAX,Health Care,"Baxter International Inc. is a global healthcare company providing medical devices, pharmaceuticals, and biotechnology products. It specializes in therapies for chronic and acute medical conditions, including dialysis and IV systems.",http://www.baxter.com
Becton Dickinson,BDX,Health Care,"Becton, Dickinson and Company (BD) is a leading medical technology company that manufactures medical devices, laboratory equipment, and diagnostic products. It is known for its contributions to healthcare innovation.",http://www.bd.com
Berkshire Hathaway,BRK.B,Financials,"Berkshire Hathaway Inc., led by Warren Buffett, is a multinational conglomerate holding company. It owns diverse subsidiaries across industries, including insurance, energy, railroads, and consumer goods.",http://www.berkshirehathaway.com
Best Buy,BBY,Consumer Discretionary,"Best Buy Co., Inc. is a leading retailer of consumer electronics, appliances, and services in the United States. It offers products both in-store and online, focusing on customer technology needs and support.",http://www.bestbuy.com
Bio-Techne,TECH,Health Care,"Bio-Techne Corporation develops and manufactures biotechnology products and services for research and clinical applications. Its products include proteins, antibodies, and diagnostic tools for life sciences and healthcare.",http://www.bio-techne.com
Biogen,BIIB,Health Care,"Biogen Inc. is a biotechnology company focused on developing therapies for neurological diseases, including multiple sclerosis, Alzheimer's, and spinal muscular atrophy. It is a leader in neuroscience innovation.",http://www.biogen.com
BlackRock,BLK,Financials,"BlackRock, Inc. is the world's largest asset management firm, offering investment management, risk management, and advisory services to institutional and retail clients. It is well-known for its iShares ETF platform.",http://www.blackrock.com
Blackstone Inc.,BX,Financials,"Blackstone Inc. is a leading global investment firm specializing in private equity, real estate, hedge funds, and credit. It focuses on long-term value creation through alternative investment strategies.",http://www.blackstone.com
BNY Mellon,BK,Financials,"The Bank of New York Mellon Corporation (BNY Mellon) is a global leader in investment management and financial services, offering asset servicing, investment management, and wealth management services.",http://www.bnymellon.com
Boeing,BA,Industrials,"The Boeing Company is a leading aerospace and defense company that designs, manufactures, and sells airplanes, satellites, and military equipment. It also provides related services to global airlines and governments.",http://www.boeing.com
Booking Holdings,BKNG,Consumer Discretionary,"Booking Holdings Inc. operates online travel platforms such as Booking.com, Priceline, and Kayak. It provides services for lodging, flights, car rentals, and travel experiences worldwide.",http://www.bookingholdings.com
BorgWarner,BWA,Consumer Discretionary,BorgWarner Inc. is a global leader in delivering innovative and sustainable solutions for automotive powertrain systems. It focuses on electrification and efficiency in traditional and electric vehicles.,http://www.borgwarner.com
Boston Scientific,BSX,Health Care,"Boston Scientific Corporation is a global medical technology company specializing in devices for cardiology, neurology, and urology. It is known for its minimally invasive therapies and innovations in patient care.",http://www.bostonscientific.com
Bristol Myers Squibb,BMY,Health Care,"Bristol-Myers Squibb Company is a global biopharmaceutical company focused on developing therapies for cancer, cardiovascular diseases, and immune disorders. It is known for its innovative research and development pipeline.",http://www.bms.com
Broadcom,AVGO,Information Technology,"Broadcom Inc. is a leading designer, developer, and supplier of semiconductor and infrastructure software solutions. It serves industries like networking, data centers, broadband, and wireless communication.",http://www.broadcom.com
Broadridge Financial Solutions,BR,Industrials,"Broadridge Financial Solutions, Inc. provides technology and services to financial institutions, including investor communications, securities processing, and data analytics for enhanced decision-making.",http://www.broadridge.com
Brown & Brown,BRO,Financials,"Brown & Brown, Inc. is an insurance brokerage and consulting firm offering risk management and insurance solutions to individuals and businesses. It specializes in property, casualty, and employee benefits.",http://www.bbinsurance.com
Brownâ€“Forman,BF.B,Consumer Staples,"Brown-Forman Corporation is one of the largest spirits and wine companies in the world. It produces iconic brands like Jack Daniel’s, Woodford Reserve, and Finlandia Vodka.",http://www.brown-forman.com
Builders FirstSource,BLDR,Industrials,"Builders FirstSource, Inc. is a supplier of building materials, manufactured components, and construction services to professional contractors and builders, primarily in the residential market.",http://www.bldr.com
Bunge Global,BG,Consumer Staples,"Bunge Limited is a global agribusiness and food company specializing in grain trading, oilseed processing, and food production. It supports the global food supply chain with sustainable agricultural solutions.",http://www.bunge.com
"BXP, Inc.",BXP,Real Estate,"Boston Properties, Inc. is a real estate investment trust (REIT) specializing in the development, ownership, and management of premium office spaces in major metropolitan areas across the United States.",http://www.bxp.com
C.H. Robinson,CHRW,Industrials,"C.H. Robinson Worldwide, Inc. is a global logistics company providing freight transportation and supply chain solutions. It offers services in trucking, air, ocean, and intermodal shipping.",http://www.chrobinson.com
Cadence Design Systems,CDNS,Information Technology,"Cadence Design Systems, Inc. is a technology company specializing in electronic design automation (EDA) software, used for designing and verifying complex chips and electronic systems.",http://www.cadence.com
Caesars Entertainment,CZR,Consumer Discretionary,"Caesars Entertainment, Inc. is one of the world's largest gaming and hospitality companies, operating casinos, hotels, and resorts. It offers gaming, dining, entertainment, and event services.",http://www.caesars.com
Camden Property Trust,CPT,Real Estate,"Camden Property Trust is a real estate investment trust (REIT) that owns, operates, and develops residential apartment communities across the United States, focusing on high-quality housing.",http://www.camdenliving.com
Campbell Soup Company,CPB,Consumer Staples,"Campbell Soup Company is a leading manufacturer of soups, snacks, and beverages. Its iconic brands include Campbell’s, Pepperidge Farm, and V8, catering to the packaged food market worldwide.",http://www.campbellsoupcompany.com
Capital One,COF,Financials,"Capital One Financial Corporation is a leading bank and financial services company specializing in credit cards, auto loans, banking, and savings accounts. It is well-known for its innovative digital banking solutions.",http://www.capitalone.com
Cardinal Health,CAH,Health Care,"Cardinal Health, Inc. is a healthcare services and products company that distributes pharmaceuticals, medical supplies, and laboratory products. It supports hospitals, pharmacies, and healthcare providers.",http://www.cardinalhealth.com
CarMax,KMX,Consumer Discretionary,"CarMax, Inc. is the largest used-car retailer in the United States, offering a transparent car-buying experience. It also provides financing and vehicle trade-in services.",http://www.carmax.com
Carnival,CCL,Consumer Discretionary,"Carnival Corporation & plc is the world's largest cruise line operator, offering travel experiences across various global brands such as Carnival Cruise Line, Princess Cruises, and Holland America Line.",http://www.carnivalcorp.com
Carrier Global,CARR,Industrials,"Carrier Global Corporation is a leading provider of heating, ventilation, air conditioning (HVAC), refrigeration, and fire and security solutions. It focuses on energy-efficient and sustainable building systems.",http://www.carrier.com
Caterpillar Inc.,CAT,Industrials,"Caterpillar Inc. is the world's largest manufacturer of construction and mining equipment, diesel and natural gas engines, and industrial turbines. It serves industries like construction, mining, and energy.",http://www.caterpillar.com
Cboe Global Markets,CBOE,Financials,"Cboe Global Markets, Inc. operates one of the largest global exchanges for trading options, equities, and futures. It is known for the Volatility Index (VIX) and innovative trading products.",http://www.cboe.com
CBRE Group,CBRE,Real Estate,"CBRE Group, Inc. is the world's largest commercial real estate services and investment firm, offering property sales, leasing, facility management, and real estate consulting.",http://www.cbre.com
CDW,CDW,Information Technology,"CDW Corporation is a leading provider of technology products, services, and solutions for businesses, government agencies, and educational institutions. It offers IT hardware, software, and consulting services.",http://www.cdw.com
Celanese,CE,Materials,"Celanese Corporation is a global chemical and specialty materials company producing engineered polymers, acetyl products, and performance materials used in industrial and consumer applications.",http://www.celanese.com
Cencora,COR,Health Care,"CoreSite Realty Corporation is a real estate investment trust (REIT) specializing in data centers. It provides secure and high-performance data center solutions for enterprises, cloud providers, and network operators.",http://www.coresite.com
Centene Corporation,CNC,Health Care,"Centene Corporation is a healthcare company offering managed care services to government-sponsored healthcare programs such as Medicaid, Medicare, and the Health Insurance Marketplace.",http://www.centene.com
CenterPoint Energy,CNP,Utilities,"CenterPoint Energy, Inc. is a utility company that provides electricity and natural gas distribution services in the United States. It focuses on energy delivery and infrastructure modernization.",http://www.centerpointenergy.com
CF Industries,CF,Materials,"CF Industries Holdings, Inc. is a leading producer of nitrogen fertilizers and other agricultural chemicals. It supports the global agriculture industry with solutions for crop nutrition.",http://www.cfindustries.com
Charles River Laboratories,CRL,Health Care,"Charles River Laboratories International, Inc. provides preclinical and clinical laboratory services for pharmaceutical and biotechnology companies. It focuses on drug discovery, safety testing, and manufacturing.",http://www.criver.com
Charles Schwab Corporation,SCHW,Financials,"The Charles Schwab Corporation is a financial services firm offering brokerage, banking, and investment advisory services. It is known for its low-cost trading platforms and extensive wealth management solutions.",http://www.schwab.com
Charter Communications,CHTR,Communication Services,"Charter Communications, Inc. is a leading broadband connectivity company and cable operator in the United States. It operates under the Spectrum brand, providing internet, TV, and voice services.",http://www.charter.com
Chevron Corporation,CVX,Energy,"Chevron Corporation is a multinational energy company involved in oil and gas exploration, production, refining, and marketing. It is also investing in renewable energy and advanced energy technologies.",http://www.chevron.com
Chipotle Mexican Grill,CMG,Consumer Discretionary,"Chipotle Mexican Grill, Inc. operates fast-casual restaurants specializing in customizable burritos, tacos, and bowls. It is known for its commitment to using high-quality, responsibly sourced ingredients.",http://www.chipotle.com
Chubb Limited,CB,Financials,"Chubb Limited is one of the largest property and casualty insurance companies in the world. It provides a wide range of insurance products, including personal, commercial, and specialty coverage.",http://www.chubb.com
Church & Dwight,CHD,Consumer Staples,"Church & Dwight Co., Inc. is a consumer goods company known for its household and personal care products, including iconic brands like Arm & Hammer, Trojan, and OxiClean",http://www.churchdwight.com
Cigna,CI,Health Care,"Cigna Corporation is a global health services company offering medical, dental, and vision insurance, along with pharmacy benefit management and wellness solutions for individuals and employers.",http://www.cigna.com
Cincinnati Financial,CINF,Financials,"Cincinnati Financial Corporation provides property, casualty, and life insurance products to individuals and businesses. It focuses on reliable underwriting and claims management.",http://www.cinfin.com
Cintas,CTAS,Industrials,"Cintas Corporation provides uniforms, safety products, and facility services to businesses across various industries. It is a leader in workplace safety and hygiene solutions.",http://www.cintas.com
Cisco,CSCO,Information Technology,"Cisco Systems, Inc. is a global leader in networking hardware, software, and telecommunications equipment. It provides solutions for connectivity, security, and collaboration.",http://www.cisco.com
Citigroup,C,Financials,"Citigroup Inc. is a multinational financial services corporation providing banking, investment, and wealth management services to individuals, businesses, and governments worldwide.",http://www.citigroup.com
Citizens Financial Group,CFG,Financials,"Citizens Financial Group, Inc. is a regional bank offering retail and commercial banking services. It focuses on loans, mortgages, and wealth management solutions for individuals and businesses.",http://www.citizensbank.com
Clorox,CLX,Consumer Staples,"The Clorox Company manufactures and markets consumer products, including cleaning supplies, disinfectants, and food storage solutions. It is known for its Clorox bleach and Pine-Sol brands.",http://www.thecloroxcompany.com
CME Group,CME,Financials,"CME Group Inc. operates the world’s largest derivatives marketplace, offering trading in futures and options across asset classes such as commodities, interest rates, and foreign exchange",http://www.cmegroup.com
CMS Energy,CMS,Utilities,CMS Energy Corporation is an energy company providing electricity and natural gas to customers in Michigan. It focuses on renewable energy projects and improving energy efficiency.,http://www.cmsenergy.com
Coca-Cola Company (The),KO,Consumer Staples,"The Coca-Cola Company is a multinational beverage corporation offering iconic soft drinks, juices, and bottled water. It owns brands such as Coca-Cola, Sprite, and Minute Maid.",http://www.coca-colacompany.com
Cognizant,CTSH,Information Technology,"Cognizant Technology Solutions Corporation provides IT services, consulting, and outsourcing solutions to businesses worldwide, specializing in digital transformation and technology modernization.",http://www.cognizant.com
Colgate-Palmolive,CL,Consumer Staples,"Colgate-Palmolive Company is a global consumer goods company known for its oral care, personal care, and household products, including Colgate toothpaste and Palmolive soap.",http://www.colgatepalmolive.com
Comcast,CMCSA,Communication Services,"Comcast Corporation is a global media and technology company offering cable, internet, and streaming services through its Xfinity brand. It also owns NBCUniversal and Sky Group.",http://www.comcast.com
Conagra Brands,CAG,Consumer Staples,"Conagra Brands, Inc. is a packaged foods company offering products in categories like snacks, frozen foods, and condiments. Its brands include Healthy Choice, Hunt’s, and Orville Redenbacher's.",http://www.conagrabrands.com
ConocoPhillips,COP,Energy,"ConocoPhillips is a multinational energy company engaged in oil and natural gas exploration, production, and marketing. It focuses on sustainable energy development and resource efficiency.",http://www.conocophillips.com
Consolidated Edison,ED,Utilities,"Consolidated Edison, Inc. is a utility company providing electricity, gas, and steam to customers in New York. It focuses on renewable energy and modernizing the energy grid.",http://www.conedison.com
Constellation Brands,STZ,Consumer Staples,"Constellation Brands, Inc. is a leading producer and marketer of alcoholic beverages, including beer, wine, and spirits. Its portfolio includes brands like Corona, Modelo, and Svedka Vodka.",http://www.cbrands.com
Constellation Energy,CEG,Utilities,"Constellation Energy Corporation is an energy company providing power generation and energy solutions, focusing on nuclear, solar, and wind power to promote sustainability.",http://www.constellationenergy.com
Cooper Companies (The),COO,Health Care,"The Cooper Companies, Inc. is a global medical device company specializing in contact lenses and surgical products. Its brands include CooperVision and CooperSurgical.",http://www.coopercos.com
Copart,CPRT,Industrials,"Copart, Inc. is a global leader in online vehicle auctions, connecting buyers and sellers of used, wholesale, and salvage vehicles. Its platform serves the automotive, insurance, and dealership industries.",http://www.copart.com
Corning Inc.,GLW,Information Technology,"Corning Incorporated specializes in materials science, developing glass, ceramics, and optical components for industries such as telecommunications, life sciences, and consumer electronics.",http://www.corning.com
Corpay,CPAY,Financials,"CPI Card Group Inc. provides financial payment card solutions, including debit, credit, and prepaid cards. It also offers secure card personalization services to banks and other institutions.",http://www.cpicardgroup.com
Corteva,CTVA,Materials,"Corteva, Inc. is a global agriculture company specializing in seeds, crop protection, and digital farming solutions. It supports sustainable farming practices to improve food security.",http://www.corteva.com
CoStar Group,CSGP,Real Estate,"CoStar Group, Inc. is a leading provider of commercial real estate information, analytics, and online marketplaces. It helps businesses and investors make informed property decisions.",http://www.costar.com
Costco,COST,Consumer Staples,"Costco Wholesale Corporation is a membership-based warehouse club offering a wide variety of products at competitive prices, including groceries, electronics, and household items.",http://www.costco.com
Coterra,CTRA,Energy,Coterra Energy Inc. is an energy company engaged in oil and natural gas exploration and production. It focuses on efficient and sustainable operations in its core areas.,http://www.coterra.com
CrowdStrike,CRWD,Information Technology,"CrowdStrike Holdings, Inc. is a cybersecurity company specializing in endpoint protection and threat intelligence. Its cloud-native Falcon platform detects and prevents cyberattacks.",http://www.crowdstrike.com
Crown Castle,CCI,Real Estate,"Crown Castle Inc. is a real estate investment trust (REIT) that owns and operates cell towers, small cells, and fiber networks. It supports wireless connectivity and 5G deployment.",http://www.crowncastle.com
CSX Corporation,CSX,Industrials,CSX Corporation is a transportation company that provides rail-based freight services. It operates one of the largest railroad networks in the eastern United States.,http://www.csx.com
Cummins,CMI,Industrials,"Cummins Inc. designs, manufactures, and distributes engines, power generation products, and filtration systems. It focuses on sustainability and innovation in clean energy technologies.",http://www.cummins.com
CVS Health,CVS,Health Care,"CVS Health Corporation is a healthcare company that operates retail pharmacies, pharmacy benefit management services, and healthcare clinics under its MinuteClinic brand.",http://www.cvshealth.com
Danaher Corporation,DHR,Health Care,"Danaher Corporation is a global science and technology innovator specializing in life sciences, diagnostics, and industrial equipment. It focuses on improving healthcare and environmental solutions.",http://www.danaher.com
Darden Restaurants,DRI,Consumer Discretionary,"Darden Restaurants, Inc. operates popular restaurant chains such as Olive Garden and LongHorn Steakhouse. It focuses on providing high-quality dining experiences.",http://www.darden.com
DaVita,DVA,Health Care,"DaVita Inc. is a leading provider of kidney care services, including dialysis and related healthcare services, for patients with chronic kidney failure and end-stage renal disease.",http://www.davita.com
Dayforce,DAY,Industrials,"Dayforce HCM, Inc. provides cloud-based human capital management (HCM) solutions, including payroll, workforce management, and talent management tools for businesses.",http://www.dayforce.com
Deckers Brands,DECK,Consumer Discretionary,"Deckers Outdoor Corporation designs and markets footwear and apparel under brands like UGG, Teva, and HOKA. It focuses on premium comfort and performance products.",http://www.deckers.com
Deere & Company,DE,Industrials,"Deere & Company, commonly known as John Deere, is a global leader in manufacturing agricultural, construction, and forestry equipment. It also offers precision farming technologies.",http://www.deere.com
Dell Technologies,DELL,Information Technology,"Dell Technologies Inc. is a global technology company providing computers, storage devices, and IT infrastructure solutions for businesses and individuals.",http://www.dell.com
Delta Air Lines,DAL,Industrials,"Delta Air Lines, Inc. is one of the largest airlines in the world, offering passenger and cargo transportation services. It focuses on global connectivity and customer service.",http://www.delta.com
